key,source,target,status
app.title,VetBara,VetBara,draft
app.subtitle,Digital examination workspace,Digitalno izpitno okolje,draft
language.label,Language,Jezik,draft
language.draftPreviewWarning,Draft machine translation preview — not approved for official VETcert exam use.,Osnutek strojnega prevoda — ni odobren za uradno uporabo pri izpitu VETcert.,draft
role.centre,Centre,Center,draft
role.candidate,Candidate,Kandidat,draft
role.examiner,Examiner,Izpraševalec,draft
pilot.smoke.title,Pilot smoke-test checklist,Kontrolni seznam pilotnega preizkusa,draft
pilot.smoke.subtitle,Use this after each deploy to confirm the pilot workflow still works.,Use this after each deploy to confirm the pilot workflow still works.,draft
pilot.smoke.loadCentre,Load Centre Setup,Naloži Centre Nastavitev,draft
pilot.smoke.candidatesExaminers,Confirm candidates and examiners are visible,Confirm kandidats and izpitiners are visible,draft
pilot.smoke.testPackage,Import or verify test package,Uvozi or verify test paket,draft
pilot.smoke.candidateQr,Open Candidate QR and save a written test answer,Odpri Kandidat QR and shrani a written test odgovor,draft
pilot.smoke.report,"For Consulting Candidate, save report draft and pilot/archive placeholder","For Consulting Kandidat, shrani poročilo draft and pilot/archive placeholder",draft
pilot.smoke.examinerQr,Open Examiner QR and save outdoor score and note,Odpri Izpitiner QR and shrani outdoor točke and note,draft
pilot.smoke.preview,Load Evaluation Preview,Naloži Evaluation Preview,draft
pilot.smoke.draftExport,Download Draft Export,Downnaloži Draft Izvozi,draft
pilot.smoke.auditExport,Download Centre Audit Package,Downnaloži Centre Audit Paket,draft
pilot.release.title,Pilot release notes,Pilot release notes,draft
pilot.release.subtitle,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,draft
pilot.release.available,Available in this pilot,Available in this pilot,draft
pilot.release.notIncluded,Not included yet,Not included yet,draft
help.candidate.title,Candidate quick help,Kandidat quick help,draft
help.candidate.qr,Scan your personal Candidate QR issued by the Centre.,Scan your personal Kandidat QR issued by the Centre.,draft
help.candidate.identity,Confirm your identity before opening sections.,Confirm your identity before odpriing sekcijas.,draft
help.candidate.autosave,Written test answers autosave to the sync queue.,Written test odgovors autoshrani to the sync queue.,draft
help.candidate.photos,"Consulting report photo entries are pilot/archive placeholders, not real uploads yet.","Consulting poročilo fotografija entries are pilot/archive placeholders, not real upnaložis yet.",draft
help.candidate.ask,"If something looks wrong, ask Centre staff before final submit.","If something looks wrong, ask Centre staff before final submit.",draft
help.examiner.title,Examiner quick help,Izpitiner quick help,draft
help.examiner.qr,Scan your personal Examiner QR issued by the Centre.,Scan your personal Izpitiner QR issued by the Centre.,draft
help.examiner.identity,Confirm your identity before opening outdoor forms.,Confirm your identity before odpriing outdoor forms.,draft
help.examiner.assigned,Only assigned Candidates are shown.,Only assigned Kandidats are shown.,draft
help.examiner.primary,Primary Examiner completes the full outdoor form; Secondary input is supporting.,Primary Izpitiner completes the full outdoor form; Secondary input is supporting.,draft
help.examiner.autosave,Scores and notes autosave to the sync queue.,Točkes and notes autoshrani to the sync queue.,draft
help.examiner.missing,"If assigned Candidates are missing, ask the Centre to assign and save Centre Setup.","If assigned Kandidats are missing, ask the Centre to assign and shrani Centre Nastavitev.",draft
centre.validation.title,Centre Setup checks,Preverjanja nastavitve centra,draft
centre.validation.ready,Ready for pilot smoke test,Pripravljeno for pilot smoke test,draft
centre.validation.action,Action required before pilot smoke test,Action required before pilot smoke test,draft
centre.validation.helper,Errors should be fixed before distributing QR links. Warnings can be reviewed during pilot preparation.,Napakas should be fixed before distributing QR links. Opozorilos can be reviewed during pilot preparation.,draft
centre.validation.empty,No validation issues. Setup is ready for pilot smoke test.,Ni težav pri validaciji. Nastavitev je pripravljena za pilotni preizkus.,draft
centre.guardrails.title,Pilot readiness guardrails,Pilot readiness guardrails,draft
centre.guardrails.helper,"These guardrails do not block demo testing, but they should be resolved before a real pilot run.","These guardrails do not block demo testing, but they should be resolved before a real pilot run.",draft
centre.guardrails.ready,Pilot readiness looks good.,Pilot readiness looks good.,draft
centre.guardrails.validation,Fix validation errors before distributing QR links.,Fix validacija napakas before distributing QR links.,draft
centre.guardrails.unsaved,Save Centre Setup before distributing QR links.,Shrani Centre Nastavitev before distributing QR links.,draft
centre.guardrails.testPackage,Import/select a test package before written test pilot runs.,Uvozi/select a test paket before written test pilot runs.,draft
centre.guardrails.backend,Load backend Centre Setup before pilot testing with real users.,Naloži backend Centre Nastavitev before pilot testing with real users.,draft
centre.run.title,Pilot run summary,Pilot run summary,draft
centre.run.helper,Use this summary before sharing Candidate or Examiner QR links.,Use this summary before sharing Kandidat or Izpitiner QR links.,draft
centre.run.dataMode,Data mode,Data mode,draft
centre.run.setup,Centre Setup,Centre Nastavitev,draft
centre.run.validation,Validation,Validacija,draft
centre.run.testPackage,Test package,Test paket,draft
centre.run.qrDistribution,QR distribution,QR distribution,draft
