key,en_source,current_ui_text,context
app.title,VetBara,VetBara,Interface term
app.subtitle,Digital examination workspace,Skaitmeninė egzaminų aplinka,Interface term
language.label,Language,Kalba,Interface term
language.draftPreviewWarning,Draft machine translation preview — not approved for official VETcert exam use.,Juodraštinis mašininio vertimo peržiūros variantas — nepatvirtintas oficialiam VETcert egzaminui.,Interface term
role.centre,Centre,Centras,Interface term
role.candidate,Candidate,Kandidatas,Interface term
role.examiner,Examiner,Egzaminuotojas,Interface term
pilot.smoke.title,Pilot smoke-test checklist,Pilot smoke-test checklist,Interface term
pilot.smoke.subtitle,Use this after each deploy to confirm the pilot workflow still works.,Use this after each deploy to confirm the pilot workflow still works.,Interface term
pilot.smoke.loadCentre,Load Centre Setup,Įkelti Centras Nustatymai,Interface term
pilot.smoke.candidatesExaminers,Confirm candidates and examiners are visible,Confirm candidates and examiners are visible,Interface term
pilot.smoke.testPackage,Import or verify test package,Importuoti or verify test package,Interface term
pilot.smoke.candidateQr,Open Candidate QR and save a written test answer,Atidaryti Kandidatas QR and save a written test answer,Interface term
pilot.smoke.report,"For Consulting Candidate, save report draft and pilot/archive placeholder","For Consulting Kandidatas, save report draft and pilot/archive placeholder",Interface term
pilot.smoke.examinerQr,Open Examiner QR and save outdoor score and note,Atidaryti Egzaminuotojas QR and save outdoor score and note,Interface term
pilot.smoke.preview,Load Evaluation Preview,Įkelti Evaluation Preview,Interface term
pilot.smoke.draftExport,Download Draft Export,Download Juodraštis Eksportuoti,Interface term
pilot.smoke.auditExport,Download Centre Audit Package,Download Centras Audit Paketas,Interface term
pilot.release.title,Pilot release notes,Pilot release notes,Interface term
pilot.release.subtitle,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,Interface term
pilot.release.available,Available in this pilot,Available in this pilot,Interface term
pilot.release.notIncluded,Not included yet,Net included yet,Interface term
help.candidate.title,Candidate quick help,Kandidatas quick help,Interface term
