key,source,target,status
app.title,VetBara,VetBara,draft
app.subtitle,Digital examination workspace,Digitális vizsgakörnyezet,draft
language.label,Language,Nyelv,draft
language.draftPreviewWarning,Draft machine translation preview — not approved for official VETcert exam use.,Gépi fordítási vázlat előnézete — hivatalos VETcert vizsgahasználatra nem jóváhagyott.,draft
role.centre,Centre,Központ,draft
role.candidate,Candidate,Jelölt,draft
role.examiner,Examiner,Vizsgáztató,draft
pilot.smoke.title,Pilot smoke-test checklist,Pilot smoke-test ellenőrzőlista,draft
pilot.smoke.subtitle,Use this after each deploy to confirm the pilot workflow still works.,Use this after each deploy to confirm the pilot workflow still works.,draft
pilot.smoke.loadCentre,Load Centre Setup,Betöltés Centre Beállítás,draft
pilot.smoke.candidatesExaminers,Confirm candidates and examiners are visible,Confirm jelölts and vizsgainers are visible,draft
pilot.smoke.testPackage,Import or verify test package,Importálás or verify test csomag,draft
pilot.smoke.candidateQr,Open Candidate QR and save a written test answer,Megnyitás Jelölt QR and mentés a written test válasz,draft
pilot.smoke.report,"For Consulting Candidate, save report draft and pilot/archive placeholder","For Consulting Jelölt, mentés jelentés draft and pilot/archive placeholder",draft
pilot.smoke.examinerQr,Open Examiner QR and save outdoor score and note,Megnyitás Vizsgainer QR and mentés outdoor pontszám and note,draft
pilot.smoke.preview,Load Evaluation Preview,Betöltés Evaluation Preview,draft
pilot.smoke.draftExport,Download Draft Export,Downbetöltés Draft Exportálás,draft
pilot.smoke.auditExport,Download Centre Audit Package,Downbetöltés Centre Audit Csomag,draft
pilot.release.title,Pilot release notes,Pilot release notes,draft
pilot.release.subtitle,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,draft
pilot.release.available,Available in this pilot,Available in this pilot,draft
pilot.release.notIncluded,Not included yet,Not included yet,draft
help.candidate.title,Candidate quick help,Jelölt quick help,draft
help.candidate.qr,Scan your personal Candidate QR issued by the Centre.,Scan your personal Jelölt QR issued by the Centre.,draft
help.candidate.identity,Confirm your identity before opening sections.,Confirm your identity before megnyitásing szakaszs.,draft
help.candidate.autosave,Written test answers autosave to the sync queue.,Written test válaszs automentés to the sync queue.,draft
help.candidate.photos,"Consulting report photo entries are pilot/archive placeholders, not real uploads yet.","Consulting jelentés fotó entries are pilot/archive placeholders, not real upbetöltéss yet.",draft
help.candidate.ask,"If something looks wrong, ask Centre staff before final submit.","If something looks wrong, ask Centre staff before final submit.",draft
help.examiner.title,Examiner quick help,Vizsgainer quick help,draft
help.examiner.qr,Scan your personal Examiner QR issued by the Centre.,Scan your personal Vizsgainer QR issued by the Centre.,draft
help.examiner.identity,Confirm your identity before opening outdoor forms.,Confirm your identity before megnyitásing outdoor forms.,draft
