key,en_source,current_ui_text,context
app.title,VetBara,VetBara,Interface term
app.subtitle,Digital examination workspace,Digitaalne eksamikeskkond,Interface term
language.label,Language,Keel,Interface term
language.draftPreviewWarning,Draft machine translation preview — not approved for official VETcert exam use.,Mustand masintõlke eelvaade — ei ole kinnitatud ametlikuks VETcert eksamiks.,Interface term
role.centre,Centre,Keskus,Interface term
role.candidate,Candidate,Kandidaat,Interface term
role.examiner,Examiner,Eksamineerija,Interface term
pilot.smoke.title,Pilot smoke-test checklist,Pilot smoke-test checklist,Interface term
pilot.smoke.subtitle,Use this after each deploy to confirm the pilot workflow still works.,Use this after each deploy to confirm the pilot workflow still works.,Interface term
pilot.smoke.loadCentre,Load Centre Setup,Laadi Keskus Seadistus,Interface term
pilot.smoke.candidatesExaminers,Confirm candidates and examiners are visible,Confirm candidates and examiners are visible,Interface term
pilot.smoke.testPackage,Import or verify test package,Impordi or verify test package,Interface term
pilot.smoke.candidateQr,Open Candidate QR and save a written test answer,Ava Kandidaat QR and save a written test answer,Interface term
pilot.smoke.report,"For Consulting Candidate, save report draft and pilot/archive placeholder","For Consulting Kandidaat, save report draft and pilot/archive placeholder",Interface term
pilot.smoke.examinerQr,Open Examiner QR and save outdoor score and note,Ava Eksamineerija QR and save outdoor score and note,Interface term
pilot.smoke.preview,Load Evaluation Preview,Laadi Evaluation Preview,Interface term
pilot.smoke.draftExport,Download Draft Export,Download Mustand Ekspordi,Interface term
pilot.smoke.auditExport,Download Centre Audit Package,Download Keskus Audit Pakett,Interface term
pilot.release.title,Pilot release notes,Pilot release notes,Interface term
pilot.release.subtitle,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,Interface term
pilot.release.available,Available in this pilot,Available in this pilot,Interface term
pilot.release.notIncluded,Not included yet,Eit included yet,Interface term
help.candidate.title,Candidate quick help,Kandidaat quick help,Interface term
help.candidate.qr,Scan your personal Candidate QR issued by the Centre.,Scan your personal Kandidaat QR issued by the Keskus.,Interface term
help.candidate.identity,Confirm your identity before opening sections.,Confirm your identity before opening sections.,Interface term
help.candidate.autosave,Written test answers autosave to the sync queue.,Written test vastused autosave to the sync queue.,Interface term
help.candidate.photos,"Consulting report photo entries are pilot/archive placeholders, not real uploads yet.","Consulting report photo entries are pilot/archive placeholders, not real uploads yet.",Interface term
help.candidate.ask,"If something looks wrong, ask Centre staff before final submit.","If something looks wrong, ask Keskus staff before final submit.",Interface term
help.examiner.title,Examiner quick help,Eksamineerija quick help,Interface term
help.examiner.qr,Scan your personal Examiner QR issued by the Centre.,Scan your personal Eksamineerija QR issued by the Keskus.,Interface term
help.examiner.identity,Confirm your identity before opening outdoor forms.,Confirm your identity before opening outdoor forms.,Interface term
help.examiner.assigned,Only assigned Candidates are shown.,Only assigned Kandidaats are shown.,Interface term
help.examiner.primary,Primary Examiner completes the full outdoor form; Secondary input is supporting.,Primary Eksamineerija completes the full outdoor form; Secondary input is supporting.,Interface term
help.examiner.autosave,Scores and notes autosave to the sync queue.,Punktids and notes autosave to the sync queue.,Interface term
help.examiner.missing,"If assigned Candidates are missing, ask the Centre to assign and save Centre Setup.","If assigned Kandidaats are missing, ask the Keskus to assign and save Keskus Seadistus.",Interface term
centre.validation.title,Centre Setup checks,Keskus Seadistus checks,Interface term
centre.validation.ready,Ready for pilot smoke test,Valmis for pilot smoke test,Interface term
centre.validation.action,Action required before pilot smoke test,Action required before pilot smoke test,Interface term
centre.validation.helper,Errors should be fixed before distributing QR links. Warnings can be reviewed during pilot preparation.,Vigas should be fixed before distributing QR links. Hoiatuss can be reviewed during pilot preparation.,Interface term
centre.validation.empty,No validation issues. Setup is ready for pilot smoke test.,Ei validation issues. Seadistus is ready for pilot smoke test.,Interface term
centre.guardrails.title,Pilot readiness guardrails,Pilot readiness guardrails,Interface term
centre.guardrails.helper,"These guardrails do not block demo testing, but they should be resolved before a real pilot run.","These guardrails do not block demo testing, but they should be resolved before a real pilot run.",Interface term
centre.guardrails.ready,Pilot readiness looks good.,Pilot readiness looks good.,Interface term
centre.guardrails.validation,Fix validation errors before distributing QR links.,Fix validation errors before distributing QR links.,Interface term
centre.guardrails.unsaved,Save Centre Setup before distributing QR links.,Salvesta Keskus Seadistus before distributing QR links.,Interface term
centre.guardrails.testPackage,Import/select a test package before written test pilot runs.,Impordi/select a test package before written test pilot runs.,Interface term
centre.guardrails.backend,Load backend Centre Setup before pilot testing with real users.,Laadi backend Keskus Seadistus before pilot testing with real users.,Interface term
centre.run.title,Pilot run summary,Pilot run summary,Interface term
centre.run.helper,Use this summary before sharing Candidate or Examiner QR links.,Use this summary before sharing Kandidaat or Eksamineerija QR links.,Interface term
centre.run.dataMode,Data mode,Data mode,Interface term
centre.run.setup,Centre Setup,Keskus Seadistus,Interface term
centre.run.validation,Validation,Kontroll,Interface term
centre.run.testPackage,Test package,Test package,Interface term
centre.run.qrDistribution,QR distribution,QR distribution,Interface term
centre.run.backend,backend-loaded pilot data,backend-loaded pilot data,Interface term
centre.run.demo,demo fallback data,demo fallback data,Interface term
centre.run.saved,Saved / no local changes,Salvestatud / no local changes,Interface term
centre.run.unsaved,Unsaved local changes,Unsaved local changes,Interface term
centre.run.imported,Imported,Imporditud,Interface term
centre.run.missing,Missing,Puudub,Interface term
centre.run.qrReady,Ready after setup is saved and backend-loaded,Valmis after setup is saved and backend-loaded,Interface term
centre.run.review,Review guardrails,Vaata üle guardrails,Interface term
centre.network.title,Network readiness checklist,Network readiness checklist,Interface term
centre.network.helper,Use this before distributing Candidate QR and Examiner QR links during a pilot session.,Use this before distributing Kandidaat QR and Eksamineerija QR links during a pilot session.,Interface term
centre.network.wifi,Stable Wi-Fi/router is running,Stable Wi-Fi/router is running,Interface term
centre.network.internet,Internet access works on tablets,Internet access works on tablets,Interface term
centre.network.url,Deployed VetBara URL opens on tablets,Deployed VetBara URL opens on tablets,Interface term
centre.network.centreQr,Centre QR/session opens,Keskus QR/session opens,Interface term
centre.network.candidateQr,Candidate QR opens on a tablet,Kandidaat QR opens on a tablet,Interface term
centre.network.examinerQr,Examiner QR opens on a tablet,Eksamineerija QR opens on a tablet,Interface term
centre.network.setup,Save/Load Centre Setup tested,Salvesta/Laadi Keskus Seadistus tested,Interface term
centre.network.sync,Sync/Audit panel checked,Sync/Audit panel checked,Interface term
centre.network.export,Export download tested,Ekspordi download tested,Interface term
qr.title,Centre / QR access pack,Keskus / QR access pack,Interface term
qr.subtitle,Give each Candidate or Examiner only their own Candidate QR or Examiner QR link. Backend-loaded QR URLs appear after Load/Save Centre Setup; demo fallback QR links are for local prototype testing only.,Give each Kandidaat or Eksamineerija only their own Kandidaat QR or Eksamineerija QR link. Backend-loaded QR URLs appear after Laadi/Salvesta Keskus Seadistus; demo fallback QR links are for local prototype testing only.,Interface term
qr.candidateLinks,Candidate QR links,Kandidaat QR links,Interface term
qr.examinerLinks,Examiner QR links,Eksamineerija QR links,Interface term
qr.copy,Copy link,Kopeeri link,Interface term
common.scanQr,Scan QR,Skanni QR,Interface term
common.loggedIn,Logged in,Logged in,Interface term
common.logout,Logout,Logout,Interface term
candidate.view.title,Candidate / Tablet login and workspace,Kandidaat / Tahvelarvuti login and workspace,Interface term
candidate.view.subtitle,"Candidate opens only their own QR workspace, confirms identity, then completes each exam section.","Kandidaat opens only their own QR workspace, confirms identity, then completes each exam section.",Interface term
candidate.qrAccess.title,Candidate QR access,Kandidaat QR access,Interface term
candidate.qrAccess.helper,Scan the personal QR issued by the Centre. This portal only shows the current Candidate workspace.,Scan the personal QR issued by the Keskus. This portal only shows the current Kandidaat workspace.,Interface term
candidate.empty,No Candidate is logged in. Scan the personal Candidate QR issued by the Centre.,Ei Kandidaat is logged in. Scan the personal Kandidaat QR issued by the Keskus.,Interface term
examiner.view.title,Examiner / Landing page and Outdoor exercises,Eksamineerija / Landing page and Outdoor exercises,Interface term
examiner.view.subtitle,"Examiner logs in, confirms identity, sees assigned candidates and opens outdoor forms.","Eksamineerija logs in, confirms identity, sees assigned candidates and opens outdoor forms.",Interface term
examiner.qrAccess.title,Examiner QR access,Eksamineerija QR access,Interface term
examiner.qrAccess.helper,Scan the personal Examiner QR issued by the Centre. This portal only shows assigned Candidate work.,Scan the personal Eksamineerija QR issued by the Keskus. This portal only shows assigned Kandidaat work.,Interface term
examiner.empty,No Examiner is logged in. Scan the personal Examiner QR issued by the Centre.,Ei Eksamineerija is logged in. Scan the personal Eksamineerija QR issued by the Keskus.,Interface term
candidate.identity.confirm,Confirm identity,Confirm identity,Interface term
candidate.sections.open,Open section,Ava section,Interface term
test.title,Written test,Written test,Interface term
test.noQuestions,No written test questions are available for this variant.,Ei written test küsimused are available for this variant.,Interface term
test.submit,Submit and close written test,Submit and close written test,Interface term
report.fieldNotes,Field notes,Field notes,Interface term
common.back,Back,Back,Interface term
