key,source,target,status
app.title,VetBara,VetBara,draft
app.subtitle,Digital examination workspace,Ambiente digital de exames,draft
language.label,Language,Idioma,draft
language.draftPreviewWarning,Draft machine translation preview — not approved for official VETcert exam use.,Pré-visualização de tradução automática em rascunho — não aprovada para uso oficial no exame VETcert.,draft
role.centre,Centre,Centro,draft
role.candidate,Candidate,Candidato,draft
role.examiner,Examiner,Examinador,draft
pilot.smoke.title,Pilot smoke-test checklist,Lista de verificação do teste-piloto,draft
pilot.smoke.subtitle,Use this after each deploy to confirm the pilot workflow still works.,Use this after each deploy to confirm the pilot workflow still works.,draft
pilot.smoke.loadCentre,Load Centre Setup,Carregar Centre Configuração,draft
pilot.smoke.candidatesExaminers,Confirm candidates and examiners are visible,Confirm candidatos and exameiners are visible,draft
pilot.smoke.testPackage,Import or verify test package,Importar or verify test pacote,draft
pilot.smoke.candidateQr,Open Candidate QR and save a written test answer,Abrir Candidato QR and guardar a written test resposta,draft
pilot.smoke.report,"For Consulting Candidate, save report draft and pilot/archive placeholder","For Consulting Candidato, guardar relatório draft and pilot/archive placeholder",draft
pilot.smoke.examinerQr,Open Examiner QR and save outdoor score and note,Abrir Exameiner QR and guardar outdoor pontuação and note,draft
pilot.smoke.preview,Load Evaluation Preview,Carregar Evaluation Preview,draft
pilot.smoke.draftExport,Download Draft Export,Downcarregar Draft Exportar,draft
pilot.smoke.auditExport,Download Centre Audit Package,Downcarregar Centre Audit Pacote,draft
pilot.release.title,Pilot release notes,Pilot release notes,draft
pilot.release.subtitle,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,draft
pilot.release.available,Available in this pilot,Available in this pilot,draft
pilot.release.notIncluded,Not included yet,Not included yet,draft
help.candidate.title,Candidate quick help,Candidato quick help,draft
help.candidate.qr,Scan your personal Candidate QR issued by the Centre.,Scan your personal Candidato QR issued by the Centre.,draft
help.candidate.identity,Confirm your identity before opening sections.,Confirm your identity before abriring secçãos.,draft
help.candidate.autosave,Written test answers autosave to the sync queue.,Written test respostas autoguardar to the sync queue.,draft
help.candidate.photos,"Consulting report photo entries are pilot/archive placeholders, not real uploads yet.","Consulting relatório fotografia entries are pilot/archive placeholders, not real upcarregars yet.",draft
help.candidate.ask,"If something looks wrong, ask Centre staff before final submit.","If something looks wrong, ask Centre staff before final submit.",draft
help.examiner.title,Examiner quick help,Exameiner quick help,draft
help.examiner.qr,Scan your personal Examiner QR issued by the Centre.,Scan your personal Exameiner QR issued by the Centre.,draft
help.examiner.identity,Confirm your identity before opening outdoor forms.,Confirm your identity before abriring outdoor forms.,draft
help.examiner.assigned,Only assigned Candidates are shown.,Only assigned Candidatos are shown.,draft
help.examiner.primary,Primary Examiner completes the full outdoor form; Secondary input is supporting.,Primary Exameiner completes the full outdoor form; Secondary input is supporting.,draft
help.examiner.autosave,Scores and notes autosave to the sync queue.,Pontuaçãos and notes autoguardar to the sync queue.,draft
help.examiner.missing,"If assigned Candidates are missing, ask the Centre to assign and save Centre Setup.","If assigned Candidatos are missing, ask the Centre to assign and guardar Centre Configuração.",draft
centre.validation.title,Centre Setup checks,Verificações da configuração do centro,draft
centre.validation.ready,Ready for pilot smoke test,Pronto for pilot smoke test,draft
centre.validation.action,Action required before pilot smoke test,Action required before pilot smoke test,draft
centre.validation.helper,Errors should be fixed before distributing QR links. Warnings can be reviewed during pilot preparation.,Erros should be fixed before distributing QR links. Avisos can be reviewed during pilot preparation.,draft
centre.validation.empty,No validation issues. Setup is ready for pilot smoke test.,Sem problemas de validação. A configuração está pronta para o teste-piloto.,draft
centre.guardrails.title,Pilot readiness guardrails,Pilot readiness guardrails,draft
centre.guardrails.helper,"These guardrails do not block demo testing, but they should be resolved before a real pilot run.","These guardrails do not block demo testing, but they should be resolved before a real pilot run.",draft
centre.guardrails.ready,Pilot readiness looks good.,Pilot readiness looks good.,draft
centre.guardrails.validation,Fix validation errors before distributing QR links.,Fix validação erros before distributing QR links.,draft
centre.guardrails.unsaved,Save Centre Setup before distributing QR links.,Guardar Centre Configuração before distributing QR links.,draft
centre.guardrails.testPackage,Import/select a test package before written test pilot runs.,Importar/select a test pacote before written test pilot runs.,draft
centre.guardrails.backend,Load backend Centre Setup before pilot testing with real users.,Carregar backend Centre Configuração before pilot testing with real users.,draft
centre.run.title,Pilot run summary,Pilot run summary,draft
centre.run.helper,Use this summary before sharing Candidate or Examiner QR links.,Use this summary before sharing Candidato or Exameiner QR links.,draft
centre.run.dataMode,Data mode,Data mode,draft
centre.run.setup,Centre Setup,Centre Configuração,draft
centre.run.validation,Validation,Validação,draft
centre.run.testPackage,Test package,Test pacote,draft
centre.run.qrDistribution,QR distribution,QR distribution,draft
centre.run.backend,backend-loaded pilot data,backend-carregared pilot data,draft
centre.run.demo,demo fallback data,demo fallback data,draft
centre.run.saved,Saved / no local changes,Guardard / no local changes,draft
centre.run.unsaved,Unsaved local changes,Unguardard local changes,draft
centre.run.imported,Imported,Importared,draft
centre.run.missing,Missing,Missing,draft
centre.run.qrReady,Ready after setup is saved and backend-loaded,Pronto after configuração is guardard and backend-carregared,draft
centre.run.review,Review guardrails,Review guardrails,draft
centre.network.title,Network readiness checklist,Network readiness checklist,draft
centre.network.helper,Use this before distributing Candidate QR and Examiner QR links during a pilot session.,Use this before distributing Candidato QR and Exameiner QR links during a pilot session.,draft
centre.network.wifi,Stable Wi-Fi/router is running,Stable Wi-Fi/router is running,draft
centre.network.internet,Internet access works on tablets,Internet access works on tablets,draft
centre.network.url,Deployed VetBara URL opens on tablets,Deployed VetBara URL abrirs on tablets,draft
centre.network.centreQr,Centre QR/session opens,Centre QR/session abrirs,draft
centre.network.candidateQr,Candidate QR opens on a tablet,Candidato QR abrirs on a tablet,draft
centre.network.examinerQr,Examiner QR opens on a tablet,Exameiner QR abrirs on a tablet,draft
centre.network.setup,Save/Load Centre Setup tested,Guardar/Carregar Centre Configuração tested,draft
centre.network.sync,Sync/Audit panel checked,Sync/Audit panel checked,draft
centre.network.export,Export download tested,Exportar downcarregar tested,draft
qr.title,Centre / QR access pack,Centre / QR access pack,draft
qr.subtitle,Give each Candidate or Examiner only their own Candidate QR or Examiner QR link. Backend-loaded QR URLs appear after Load/Save Centre Setup; demo fallback QR links are for local prototype testing only.,Give each Candidato or Exameiner only their own Candidato QR or Exameiner QR link. Backend-carregared QR URLs appear after Carregar/Guardar Centre Configuração; demo fallback QR links are for local prototype testing only.,draft
qr.candidateLinks,Candidate QR links,Candidato QR links,draft
qr.examinerLinks,Examiner QR links,Exameiner QR links,draft
qr.copy,Copy link,Copy link,draft
common.scanQr,Scan QR,Scan QR,draft
common.loggedIn,Logged in,Logged in,draft
common.logout,Logout,Logout,draft
candidate.view.title,Candidate / Tablet login and workspace,Candidato / Tablet login and workspace,draft
candidate.view.subtitle,"Candidate opens only their own QR workspace, confirms identity, then completes each exam section.","Candidato abrirs only their own QR workspace, confirms identity, then completes each exame secção.",draft
candidate.qrAccess.title,Candidate QR access,Candidato QR access,draft
candidate.qrAccess.helper,Scan the personal QR issued by the Centre. This portal only shows the current Candidate workspace.,Scan the personal QR issued by the Centre. This portal only shows the atual Candidato workspace.,draft
candidate.empty,No Candidate is logged in. Scan the personal Candidate QR issued by the Centre.,No Candidato is logged in. Scan the personal Candidato QR issued by the Centre.,draft
