key,source,target,status
app.title,VetBara,VetBara,draft
app.subtitle,Digital examination workspace,Cyfrowe środowisko egzaminacyjne,draft
language.label,Language,Język,draft
language.draftPreviewWarning,Draft machine translation preview — not approved for official VETcert exam use.,Podgląd roboczego tłumaczenia maszynowego — niezatwierdzony do oficjalnego użycia w egzaminie VETcert.,draft
role.centre,Centre,Centrum,draft
role.candidate,Candidate,Kandydat,draft
role.examiner,Examiner,Egzaminator,draft
pilot.smoke.title,Pilot smoke-test checklist,Lista kontrolna testu pilotażowego,draft
pilot.smoke.subtitle,Use this after each deploy to confirm the pilot workflow still works.,Use this after each deploy to confirm the pilot workflow still works.,draft
pilot.smoke.loadCentre,Load Centre Setup,Wczytaj Centre Konfiguracja,draft
pilot.smoke.candidatesExaminers,Confirm candidates and examiners are visible,Confirm kandydats and egzamininers are visible,draft
pilot.smoke.testPackage,Import or verify test package,Importuj or verify test pakiet,draft
pilot.smoke.candidateQr,Open Candidate QR and save a written test answer,Otwórz Kandydat QR and zapisz a written test odpowiedź,draft
pilot.smoke.report,"For Consulting Candidate, save report draft and pilot/archive placeholder","For Consulting Kandydat, zapisz raport draft and pilot/archive placeholder",draft
pilot.smoke.examinerQr,Open Examiner QR and save outdoor score and note,Otwórz Egzamininer QR and zapisz outdoor wynik and note,draft
pilot.smoke.preview,Load Evaluation Preview,Wczytaj Evaluation Preview,draft
pilot.smoke.draftExport,Download Draft Export,Downwczytaj Draft Eksportuj,draft
pilot.smoke.auditExport,Download Centre Audit Package,Downwczytaj Centre Audit Pakiet,draft
pilot.release.title,Pilot release notes,Pilot release notes,draft
pilot.release.subtitle,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,draft
pilot.release.available,Available in this pilot,Available in this pilot,draft
pilot.release.notIncluded,Not included yet,Not included yet,draft
help.candidate.title,Candidate quick help,Kandydat quick help,draft
help.candidate.qr,Scan your personal Candidate QR issued by the Centre.,Scan your personal Kandydat QR issued by the Centre.,draft
help.candidate.identity,Confirm your identity before opening sections.,Confirm your identity before otwórzing sekcjas.,draft
help.candidate.autosave,Written test answers autosave to the sync queue.,Written test odpowiedźs autozapisz to the sync queue.,draft
help.candidate.photos,"Consulting report photo entries are pilot/archive placeholders, not real uploads yet.","Consulting raport zdjęcie entries are pilot/archive placeholders, not real upwczytajs yet.",draft
help.candidate.ask,"If something looks wrong, ask Centre staff before final submit.","If something looks wrong, ask Centre staff before final submit.",draft
help.examiner.title,Examiner quick help,Egzamininer quick help,draft
help.examiner.qr,Scan your personal Examiner QR issued by the Centre.,Scan your personal Egzamininer QR issued by the Centre.,draft
help.examiner.identity,Confirm your identity before opening outdoor forms.,Confirm your identity before otwórzing outdoor forms.,draft
help.examiner.assigned,Only assigned Candidates are shown.,Only assigned Kandydats are shown.,draft
help.examiner.primary,Primary Examiner completes the full outdoor form; Secondary input is supporting.,Primary Egzamininer completes the full outdoor form; Secondary input is supporting.,draft
help.examiner.autosave,Scores and notes autosave to the sync queue.,Wyniks and notes autozapisz to the sync queue.,draft
help.examiner.missing,"If assigned Candidates are missing, ask the Centre to assign and save Centre Setup.","If assigned Kandydats are missing, ask the Centre to assign and zapisz Centre Konfiguracja.",draft
centre.validation.title,Centre Setup checks,Kontrole konfiguracji centrum,draft
centre.validation.ready,Ready for pilot smoke test,Gotowe for pilot smoke test,draft
centre.validation.action,Action required before pilot smoke test,Action required before pilot smoke test,draft
centre.validation.helper,Errors should be fixed before distributing QR links. Warnings can be reviewed during pilot preparation.,Błąds should be fixed before distributing QR links. Ostrzeżenies can be reviewed during pilot preparation.,draft
centre.validation.empty,No validation issues. Setup is ready for pilot smoke test.,Brak problemów walidacji. Konfiguracja jest gotowa do testu pilotażowego.,draft
centre.guardrails.title,Pilot readiness guardrails,Pilot readiness guardrails,draft
centre.guardrails.helper,"These guardrails do not block demo testing, but they should be resolved before a real pilot run.","These guardrails do not block demo testing, but they should be resolved before a real pilot run.",draft
centre.guardrails.ready,Pilot readiness looks good.,Pilot readiness looks good.,draft
centre.guardrails.validation,Fix validation errors before distributing QR links.,Fix walidacja błąds before distributing QR links.,draft
centre.guardrails.unsaved,Save Centre Setup before distributing QR links.,Zapisz Centre Konfiguracja before distributing QR links.,draft
centre.guardrails.testPackage,Import/select a test package before written test pilot runs.,Importuj/select a test pakiet before written test pilot runs.,draft
centre.guardrails.backend,Load backend Centre Setup before pilot testing with real users.,Wczytaj backend Centre Konfiguracja before pilot testing with real users.,draft
centre.run.title,Pilot run summary,Pilot run summary,draft
centre.run.helper,Use this summary before sharing Candidate or Examiner QR links.,Use this summary before sharing Kandydat or Egzamininer QR links.,draft
centre.run.dataMode,Data mode,Data mode,draft
centre.run.setup,Centre Setup,Centre Konfiguracja,draft
centre.run.validation,Validation,Walidacja,draft
centre.run.testPackage,Test package,Test pakiet,draft
centre.run.qrDistribution,QR distribution,QR distribution,draft
centre.run.backend,backend-loaded pilot data,backend-wczytajed pilot data,draft
centre.run.demo,demo fallback data,demo fallback data,draft
centre.run.saved,Saved / no local changes,Zapiszd / no local changes,draft
centre.run.unsaved,Unsaved local changes,Unzapiszd local changes,draft
centre.run.imported,Imported,Importujed,draft
centre.run.missing,Missing,Missing,draft
