key,en_source,current_ui_text,context
app.title,VetBara,VetBara,Interface term
app.subtitle,Digital examination workspace,Digitālā eksāmenu darba vide,Interface term
language.label,Language,Valoda,Interface term
language.draftPreviewWarning,Draft machine translation preview — not approved for official VETcert exam use.,Melnraksta mašīntulkojuma priekšskatījums — nav apstiprināts oficiālai VETcert eksāmena lietošanai.,Interface term
role.centre,Centre,Centrs,Interface term
role.candidate,Candidate,Kandidāts,Interface term
role.examiner,Examiner,Eksaminētājs,Interface term
pilot.smoke.title,Pilot smoke-test checklist,Pilot smoke-test checklist,Interface term
pilot.smoke.subtitle,Use this after each deploy to confirm the pilot workflow still works.,Use this after each deploy to confirm the pilot workflow still works.,Interface term
pilot.smoke.loadCentre,Load Centre Setup,Ielādēt Centrs Iestatījumi,Interface term
pilot.smoke.candidatesExaminers,Confirm candidates and examiners are visible,Confirm candidates and examiners are visible,Interface term
pilot.smoke.testPackage,Import or verify test package,Importēt or verify test package,Interface term
pilot.smoke.candidateQr,Open Candidate QR and save a written test answer,Atvērt Kandidāts QR and save a written test answer,Interface term
pilot.smoke.report,"For Consulting Candidate, save report draft and pilot/archive placeholder","For Consulting Kandidāts, save report draft and pilot/archive placeholder",Interface term
pilot.smoke.examinerQr,Open Examiner QR and save outdoor score and note,Atvērt Eksaminētājs QR and save outdoor score and note,Interface term
pilot.smoke.preview,Load Evaluation Preview,Ielādēt Evaluation Preview,Interface term
pilot.smoke.draftExport,Download Draft Export,Download Melnraksts Eksportēt,Interface term
pilot.smoke.auditExport,Download Centre Audit Package,Download Centrs Audit Pakotne,Interface term
pilot.release.title,Pilot release notes,Pilot release notes,Interface term
pilot.release.subtitle,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,This panel describes the pilot prototype scope. It is not the official VETcert certification output.,Interface term
pilot.release.available,Available in this pilot,Available in this pilot,Interface term
pilot.release.notIncluded,Not included yet,Nēt included yet,Interface term
help.candidate.title,Candidate quick help,Kandidāts quick help,Interface term
help.candidate.qr,Scan your personal Candidate QR issued by the Centre.,Scan your personal Kandidāts QR issued by the Centrs.,Interface term
help.candidate.identity,Confirm your identity before opening sections.,Confirm your identity before opening sections.,Interface term
help.candidate.autosave,Written test answers autosave to the sync queue.,Written test atbildes autosave to the sync queue.,Interface term
help.candidate.photos,"Consulting report photo entries are pilot/archive placeholders, not real uploads yet.","Consulting report photo entries are pilot/archive placeholders, not real uploads yet.",Interface term
help.candidate.ask,"If something looks wrong, ask Centre staff before final submit.","If something looks wrong, ask Centrs staff before final submit.",Interface term
help.examiner.title,Examiner quick help,Eksaminētājs quick help,Interface term
help.examiner.qr,Scan your personal Examiner QR issued by the Centre.,Scan your personal Eksaminētājs QR issued by the Centrs.,Interface term
help.examiner.identity,Confirm your identity before opening outdoor forms.,Confirm your identity before opening outdoor forms.,Interface term
help.examiner.assigned,Only assigned Candidates are shown.,Only assigned Kandidātss are shown.,Interface term
help.examiner.primary,Primary Examiner completes the full outdoor form; Secondary input is supporting.,Primary Eksaminētājs completes the full outdoor form; Secondary input is supporting.,Interface term
help.examiner.autosave,Scores and notes autosave to the sync queue.,Punktis and notes autosave to the sync queue.,Interface term
help.examiner.missing,"If assigned Candidates are missing, ask the Centre to assign and save Centre Setup.","If assigned Kandidātss are missing, ask the Centrs to assign and save Centrs Iestatījumi.",Interface term
centre.validation.title,Centre Setup checks,Centrs Iestatījumi checks,Interface term
centre.validation.ready,Ready for pilot smoke test,Gatavs for pilot smoke test,Interface term
centre.validation.action,Action required before pilot smoke test,Action required before pilot smoke test,Interface term
centre.validation.helper,Errors should be fixed before distributing QR links. Warnings can be reviewed during pilot preparation.,Kļūdas should be fixed before distributing QR links. Brīdinājumss can be reviewed during pilot preparation.,Interface term
centre.validation.empty,No validation issues. Setup is ready for pilot smoke test.,Nē validation issues. Iestatījumi is ready for pilot smoke test.,Interface term
centre.guardrails.title,Pilot readiness guardrails,Pilot readiness guardrails,Interface term
centre.guardrails.helper,"These guardrails do not block demo testing, but they should be resolved before a real pilot run.","These guardrails do not block demo testing, but they should be resolved before a real pilot run.",Interface term
centre.guardrails.ready,Pilot readiness looks good.,Pilot readiness looks good.,Interface term
centre.guardrails.validation,Fix validation errors before distributing QR links.,Fix validation errors before distributing QR links.,Interface term
centre.guardrails.unsaved,Save Centre Setup before distributing QR links.,Saglabāt Centrs Iestatījumi before distributing QR links.,Interface term
centre.guardrails.testPackage,Import/select a test package before written test pilot runs.,Importēt/select a test package before written test pilot runs.,Interface term
centre.guardrails.backend,Load backend Centre Setup before pilot testing with real users.,Ielādēt backend Centrs Iestatījumi before pilot testing with real users.,Interface term
centre.run.title,Pilot run summary,Pilot run summary,Interface term
centre.run.helper,Use this summary before sharing Candidate or Examiner QR links.,Use this summary before sharing Kandidāts or Eksaminētājs QR links.,Interface term
centre.run.dataMode,Data mode,Data mode,Interface term
centre.run.setup,Centre Setup,Centrs Iestatījumi,Interface term
centre.run.validation,Validation,Validācija,Interface term
centre.run.testPackage,Test package,Tests package,Interface term
centre.run.qrDistribution,QR distribution,QR distribution,Interface term
centre.run.backend,backend-loaded pilot data,backend-loaded pilot data,Interface term
centre.run.demo,demo fallback data,demo fallback data,Interface term
centre.run.saved,Saved / no local changes,Saglabāts / no local changes,Interface term
centre.run.unsaved,Unsaved local changes,Unsaved local changes,Interface term
centre.run.imported,Imported,Importētēts,Interface term
centre.run.missing,Missing,Trūkst,Interface term
centre.run.qrReady,Ready after setup is saved and backend-loaded,Gatavs after setup is saved and backend-loaded,Interface term
centre.run.review,Review guardrails,Pārskatīt guardrails,Interface term
centre.network.title,Network readiness checklist,Network readiness checklist,Interface term
centre.network.helper,Use this before distributing Candidate QR and Examiner QR links during a pilot session.,Use this before distributing Kandidāts QR and Eksaminētājs QR links during a pilot session.,Interface term
centre.network.wifi,Stable Wi-Fi/router is running,Stable Wi-Fi/router is running,Interface term
centre.network.internet,Internet access works on tablets,Internet access works on tablets,Interface term
centre.network.url,Deployed VetBara URL opens on tablets,Deployed VetBara URL opens on tablets,Interface term
centre.network.centreQr,Centre QR/session opens,Centrs QR/session opens,Interface term
centre.network.candidateQr,Candidate QR opens on a tablet,Kandidāts QR opens on a tablet,Interface term
centre.network.examinerQr,Examiner QR opens on a tablet,Eksaminētājs QR opens on a tablet,Interface term
centre.network.setup,Save/Load Centre Setup tested,Saglabāt/Ielādēt Centrs Iestatījumi tested,Interface term
centre.network.sync,Sync/Audit panel checked,Sync/Audit panel checked,Interface term
centre.network.export,Export download tested,Eksportēt download tested,Interface term
qr.title,Centre / QR access pack,Centrs / QR access pack,Interface term
qr.subtitle,Give each Candidate or Examiner only their own Candidate QR or Examiner QR link. Backend-loaded QR URLs appear after Load/Save Centre Setup; demo fallback QR links are for local prototype testing only.,Give each Kandidāts or Eksaminētājs only their own Kandidāts QR or Eksaminētājs QR link. Backend-loaded QR URLs appear after Ielādēt/Saglabāt Centrs Iestatījumi; demo fallback QR links are for local prototype testing only.,Interface term
qr.candidateLinks,Candidate QR links,Kandidāts QR links,Interface term
qr.examinerLinks,Examiner QR links,Eksaminētājs QR links,Interface term
qr.copy,Copy link,Kopēt saiti,Interface term
common.scanQr,Scan QR,Skenēt QR,Interface term
common.loggedIn,Logged in,Logged in,Interface term
common.logout,Logout,Logout,Interface term
candidate.view.title,Candidate / Tablet login and workspace,Kandidāts / Planšete login and workspace,Interface term
candidate.view.subtitle,"Candidate opens only their own QR workspace, confirms identity, then completes each exam section.","Kandidāts opens only their own QR workspace, confirms identity, then completes each exam section.",Interface term
candidate.qrAccess.title,Candidate QR access,Kandidāts QR access,Interface term
candidate.qrAccess.helper,Scan the personal QR issued by the Centre. This portal only shows the current Candidate workspace.,Scan the personal QR issued by the Centrs. This portal only shows the current Kandidāts workspace.,Interface term
candidate.empty,No Candidate is logged in. Scan the personal Candidate QR issued by the Centre.,Nē Kandidāts is logged in. Scan the personal Kandidāts QR issued by the Centrs.,Interface term
examiner.view.title,Examiner / Landing page and Outdoor exercises,Eksaminētājs / Landing page and Outdoor exercises,Interface term
examiner.view.subtitle,"Examiner logs in, confirms identity, sees assigned candidates and opens outdoor forms.","Eksaminētājs logs in, confirms identity, sees assigned candidates and opens outdoor forms.",Interface term
examiner.qrAccess.title,Examiner QR access,Eksaminētājs QR access,Interface term
examiner.qrAccess.helper,Scan the personal Examiner QR issued by the Centre. This portal only shows assigned Candidate work.,Scan the personal Eksaminētājs QR issued by the Centrs. This portal only shows assigned Kandidāts work.,Interface term
examiner.empty,No Examiner is logged in. Scan the personal Examiner QR issued by the Centre.,Nē Eksaminētājs is logged in. Scan the personal Eksaminētājs QR issued by the Centrs.,Interface term
candidate.identity.confirm,Confirm identity,Confirm identity,Interface term
candidate.sections.open,Open section,Atvērt section,Interface term
test.title,Written test,Written test,Interface term
test.noQuestions,No written test questions are available for this variant.,Nē written test jautājumi are available for this variant.,Interface term
test.submit,Submit and close written test,Submit and close written test,Interface term
report.fieldNotes,Field notes,Field notes,Interface term
common.back,Back,Back,Interface term
common.offlineRetry,"If offline, visible local work remains and sync will retry when session/backend is available.","If offline, visible local work remains and sync will retry when session/backend is available.",Interface term
common.opened,Opened,Atvērted,Interface term
common.closed,Closed,Aizvērtd,Interface term
common.points,point(s),point(s),Interface term
candidate.identity.detailsTitle,Confirm personal details,Confirm personal details,Interface term
candidate.identity.name,Candidate name,Kandidāts name,Interface term
candidate.identity.examLevel,Exam level,Exam level,Interface term
candidate.identity.warning,Confirm identity before opening exam sections.,Confirm identity before opening exam sections.,Interface term
candidate.identity.confirmed,Identity confirmed,Identity confirmed,Interface term
candidate.landing.title,Candidate landing page,Kandidāts landing page,Interface term
candidate.landing.helper,Review which sections are ready before opening work for this exam attempt.,Pārskatīt which sections are ready before opening work for this exam attempt.,Interface term
candidate.readiness.identity,Identity confirmed,Identity confirmed,Interface term
candidate.readiness.writtenTest,Written test available,Written test available,Interface term
candidate.readiness.report,Report section available,Ziņojums section available,Interface term
candidate.section.confirmFirst,Confirm identity first.,Confirm identity first.,Interface term
candidate.section.closed,This section is closed.,This section is closed.,Interface term
candidate.section.open,This section is open.,This section is open.,Interface term
candidate.section.locked,This section is locked.,This section is locked.,Interface term
candidate.section.requestReopen,Request reopen,Request reopen,Interface term
test.variantAutosave,Variant: {variant}. Autosaved to the sync queue. Final submit closes this section.,Variant: {variant}. Autosaved to the sync queue. Final submit closes this section.,Interface term
test.askCentre,Ask the Centre to import/select a test package and save Centre Setup.,Ask the Centrs to import/select a test package and save Centrs Iestatījumi.,Interface term
test.question,Question,Jautājums,Interface term
